month_or_lane,source_lane,status,notes
2022-12-29..2022-12-31,local/emergency/civil professional,Targeted searched,"No new qualifying warning found this pass; older chains followed separately."
2023-01,local/emergency/civil professional,In progress,"Rechecked Ashkelon/Gaza-envelope local-government preparedness warnings; WARN-63 Tomer Glam letter deduped as existing Accepted."
2023-02,local/emergency/civil professional,Targeted searched,"No new qualifying warning found in targeted local-authority/emergency searches this pass."
2023-03,local/emergency/civil professional,Targeted searched,"No new distinct qualifying warning found; existing northern/local preparedness chains remain in library."
2023-04,local/emergency/civil professional,In progress,"Alon Davidi 20 Apr direct Netanyahu contact strengthened with contemporaneous N12/Kipa; exact private warning content still insufficiently specific for promotion."
2023-05,local/emergency/civil professional,In progress,"Davidi 3 May follow-up and existing rabashatz/local-defense chains rechecked; no new Accepted event."
2023-06,local/emergency/civil professional,In progress,"Existing WARN-136 Jordan-border local-authority chain and northern protection warnings rechecked; no new distinct event."
2023-07,local/emergency/civil professional,Targeted searched,"Northern local-authority/Hezbollah-border warning coverage rechecked; no new distinct event."
2023-08,local/emergency/civil professional,Targeted searched,"No new qualifying local/emergency warning found in targeted searches this pass."
2023-09,local/emergency/civil professional,In progress,"GAZA-COUNCILS-SEP26 remains unresolved on attribution/recipient; WARN-97 Yarkoni remains separate Accepted event."
2023-10-01..2023-10-06,local/emergency/civil professional,Targeted searched,"No new distinct qualifying local/emergency warning found this pass."
OLDER,older inherited/repeated warnings,In progress,"WARN-130 older rabashatz/standby-squad warning chain and current-government bridge rechecked; no new primary-document upgrade beyond evidence already incorporated."
ALL,local/emergency/civil professional,In progress,"Lane 5 deep pass completed for this rotation; no month promoted to Complete. Next lane: 6 documentary recovery + historical blind spots."
