period,lane,result,notes
2022-12-29..2022-12-31,3 — foreign government/intelligence,In progress,"Targeted sweep found no distinct qualifying foreign warning in this short period; keep open."
2023-01,3 — foreign government/intelligence,In progress,"Revalidated existing direct Sisi/Jordan/U.S./EU/French warning entries; no new January event crossed threshold."
2023-02,3 — foreign government/intelligence,In progress,"Revalidated existing foreign warning entries; no new February event crossed threshold."
2023-03,3 — foreign government/intelligence,In progress,"UK-CLEVERLY-COHEN-MAR21-2023 resolved below threshold as a separate warning because the post-meeting primary record documents mutual de-escalation agreement rather than a one-direction warning."
2023-04,3 — foreign government/intelligence,In progress,"Revalidated existing foreign escalation warnings; no additional distinct April event crossed threshold."
2023-05,3 — foreign government/intelligence,In progress,"Added WARN-127: Jake Sullivan→Tzachi Hanegbi, 10 May, direct official warning to de-escalate active Gaza fighting and prevent further loss of life."
2023-06,3 — foreign government/intelligence,In progress,"Revalidated existing Sullivan/foreign escalation chain; no new June event crossed threshold."
2023-07,3 — foreign government/intelligence,In progress,"Revalidated existing foreign-government warning entries; no new July event crossed threshold."
2023-08,3 — foreign government/intelligence,In progress,"Revalidated existing foreign warnings including Thomas-Greenfield→Gallant; no new August event crossed threshold."
2023-09,3 — foreign government/intelligence,In progress,"WARN-8 and WARN-76 retained with existing caveats; WARN-5 remains Disputed; Egypt Foreign Ministry/NSC claim remains disputed/unresolved."
2023-10-01..2023-10-06,3 — foreign government/intelligence,In progress,"Egypt Oct. 4 claim remains unresolved/disputed on recipient and specificity; McCaul corroboration materially limited by senior U.S. briefing participant's correction. Existing Oct. 4 Jordan escalation warning retained."
pre-2022-12-29,3 — foreign government/intelligence,In progress,"Retained WARN-124 (2018 Egyptian military-financing warning); no additional older foreign warning crossed threshold."
