period,lane,status,delta
2022-12-29..2022-12-31,other_israeli_security,In progress,"Targeted Lane 2 sweep; no distinct new qualifying event."
2023-01,other_israeli_security,In progress,"Targeted Shin Bet/Mossad/NSC/police/Home Front sweep; no distinct new qualifying event."
2023-02,other_israeli_security,In progress,"Reconciled BAR-FEB15-2023-EJ-ESCALATION to Accepted WARN-36."
2023-03,other_israeli_security,In progress,"Rechecked institutional warning chains; no additional distinct event crossed threshold."
2023-04,other_israeli_security,In progress,"BAR-APR23-DETERRENCE remains unresolved for exact date/forum and contemporaneous corroboration."
2023-05,other_israeli_security,In progress,"Reconciled BAR-MAY21-2023-GAZA-CAMPAIGN to Accepted WARN-16; contrary PMO account preserved."
2023-06,other_israeli_security,In progress,"Reconciled stale candidates to Accepted WARN-7/WARN-37 and existing WARN-108; no duplicate created."
2023-07,other_israeli_security,In progress,"No additional distinct event crossed threshold."
2023-08,other_israeli_security,In progress,"Rechecked accepted Shin Bet/police chains; no new distinct event."
2023-09,other_israeli_security,In progress,"BAR-MIDSEP-2023-MULTIFRONT deduped to WARN-15. WARN-5 leader-level UAE call downgraded to Disputed after new UAE official-source contradiction; Shin Bet/intermediary chain remains separately supported."
2023-10-01..2023-10-06,other_israeli_security,In progress,"OCT1-ASSESSMENT-2023 reconciled to existing Accepted WARN-68; no duplicate."
pre-2022-12-29,older_inherited_warnings,In progress,"Older Shin Bet/other-security warning chains rechecked; no new distinct older event accepted."
