candidate_id,period,status,warning_source,recipient,warning_summary,evidence_state,gaps
WARN-1,2023-03-19,Accepted,Brig. Gen. Amit Saar / IDF Military Intelligence Research Division,Benjamin Netanyahu,"Strategic warning that Iran, Hezbollah and Hamas saw Israel's internal crisis and weakening cohesion as an opportunity, raising escalation risk.","IDF later formally confirmed four MI warning documents were delivered to Netanyahu between March and July 2023; reporting identifies March 19 as Saar's first letter. Published to Notion with PMO limiting context preserved.","No specific public record of Netanyahu's response to this individual letter; not a specific Gaza invasion warning."
WARN-2,2023-07-16,Accepted,Brig. Gen. Amit Saar / IDF Military Intelligence Research Division,Benjamin Netanyahu,"Second strategic warning that deepening internal crisis was eroding deterrence and increasing escalation risk.","IDF FOIA confirmation establishes direct receipt of four MI documents; multiple reports identify July 16 as Saar's second letter. Published to Notion with PMO limiting context preserved.","Reconcile newly released September 2026 reporting and imagery referring to a July 23 Saar letter/document; no specific public record of response."
IDF-FOIA-REMAINING-2023,2023-03..2023-07,Investigating,IDF Military Intelligence,Benjamin Netanyahu,"The other two of the four MI warning documents formally acknowledged by the IDF, including a May 31 document referenced by the PMO.","Official IDF FOIA response establishes four documents; PMO publicly described a May 31 assessment recommending regional de-escalation and an arrangement with Hamas in Gaza. September 2026 Ynet reporting now exposes an additional July 23 Saar warning excerpt containing Hamas-linked backchannel material.","Recover full metadata/content of all four documents and determine whether July 23 is distinct from the previously reported July 16 warning or a date/identity correction."
SAAR-JULY-DATE-RECONCILIATION,2023-07,Strong candidate / dedupe reconciliation,Brig. Gen. Amit Saar / IDF Military Intelligence Research Division,Benjamin Netanyahu,"Reporting identifies a July 16 warning while newly released September 2026 reporting shows and quotes a July 23 warning letter carrying Hamas-linked backchannel material about multiple ignition points and regional conflagration.","July 16 is supported by 2023 reporting; September 2026 Ynet reporting says censorship cleared an excerpt/image from a July 23 letter and identifies it as Saar's most severe warning, delivered to Netanyahu and the government.","Recover document metadata/full text or authoritative chronology before deciding whether July 23 is a new canonical warning, a separate third/fourth MI document, or a correction to the July 16 date. Do not duplicate WARN-2."
MI-APR12-2023-POLITICAL-ECHELON,2023-04-12,Strong candidate / investigating,IDF Military Intelligence,Israeli political echelon; named recipients unresolved,"MI warned the political echelon that war was closer than calm, that tensions could persist after Ramadan, and that Israeli deterrence was eroding amid multi-front pressure.","Contemporaneous Walla reporting on April 12, 2023 attributes the assessment directly to Military Intelligence and says it had been delivered to the political echelon; contemporaneous republication exists.","Need named recipient/forum, primary briefing material or independent high-quality corroboration before acceptance. Distinguish this from Saar's March/July letters."
BAR-JUL23-2023,2023-07-23,Accepted,Ronen Bar / Shin Bet,Benjamin Netanyahu,"General strategic warning of war: Bar said adversaries perceived Israeli weakness and he could not specify when or how war would erupt.","Ynet and Channel 12/Uvda independently reported the direct secure warning to Netanyahu; Bar later stated under oath that in July 2023 he personally conveyed the severity to Netanyahu in terms analogous to a warning of war. Published to Notion as Medium confidence with Netanyahu/PMO denial and non-Gaza scope preserved.","No contemporaneous public transcript; exact date has a July 23/24 discrepancy; Netanyahu's sworn response disputes the characterization and says it is absent from official security stenograms. Do not classify as a Gaza-specific warning."
BAR-APR23-DETERRENCE,2023-04,Strong candidate / investigating,Ronen Bar / Shin Bet,Political echelon; exact recipient unresolved,"Shin Bet warned that adversaries saw a window of opportunity amid internal division and Israel could face a perfect storm; Bar says the service recommended a targeted forceful move to halt deterrence erosion.","Bar's April 2025 sworn High Court affidavit explicitly describes the April 2023 recommendation and broader warnings to the political echelon. Lane-2 recheck on 2026-09-21 found no independent contemporaneous briefing record or authoritative inquiry finding establishing the exact event.","Recover exact April date, forum, recipients and contemporaneous or independently corroborating evidence before treating it as a distinct government warning event."
BAR-MAY21-2023-GAZA-CAMPAIGN,2023-05-21,Accepted / disputed,Ronen Bar / Shin Bet,Benjamin Netanyahu,"Haaretz protocol-based reporting says Bar told Netanyahu Hamas was the next challenge and a Gaza campaign would be unavoidable; PMO says the same meeting conveyed the opposite assessment that Hamas was deterred and sought stability.","Published to Notion as WARN-16 / Medium confidence. Detailed Haaretz reporting says it reviewed meeting protocols/summaries; Ynet reproduces both the warning and PMO's categorical contradictory account. The underlying official protocol is not public.","Preserve the direct conflict over Bar's recommendation and Netanyahu's response; do not characterize the warning as ignored or rejected as a settled fact."
BAR-JUN11-2023-RESOURCE-DIVERSION,2023-06-11,Accepted,Ronen Bar / Shin Bet,Benjamin Netanyahu / ministerial meeting,"Bar warned that using Shin Bet broadly for ordinary organized-crime policing would divert resources from counterterrorism, risk exposing sources and could damage the organization/national security mission.","Published to Notion as WARN-37 / High confidence. Contemporaneous reporting identifies the Netanyahu-chaired meeting, participants, Bar's counterterror-resource warning and Netanyahu's instruction to prepare for Shin Bet involvement despite the objection.","Later implementation was narrower than a blanket transfer of responsibility; do not infer any Oct. 7 causal effect."
POLICE-JUN9-2023-CAPACITY-WARNING,2023-06-09,Accepted,6 former police commissioners and 42 retired senior police commanders,Benjamin Netanyahu,"Direct letter warning of the expected collapse of Israel Police and severe national-security institutional degradation.","Published to Notion as WARN-7 / High confidence. Contemporaneous Ynet and Times of Israel identify the signatories, Netanyahu as addressee and the central warning; on June 11 former commissioner Shlomo Aharonishki said Netanyahu had not responded to the letter.","Do not conflate with the distinct June 6 serving-police operational-capacity warning published separately as WARN-108."
BAR-JUL23-DATE-CHECK,2023-07-23..2023-07-24,Resolved with caveat,Ronen Bar / Shin Bet,Benjamin Netanyahu,"Date reconciliation for the accepted July warning.","Uvda/Times of Israel and several reports place the secure call on July 23; one Ynet version says July 24. Accepted record uses July 23 with discrepancy disclosed.","Only revise if primary metadata resolves the one-day discrepancy."
BAR-AUG23-PALESTINIAN-ESCALATION,2023-08-01..2023-08-04,Accepted,Ronen Bar / Shin Bet,Benjamin Netanyahu,"Strategic warning that Jewish extremist violence against Palestinians was fueling Palestinian terrorism, drawing additional people into violence and benefiting Hamas and Palestinian Islamic Jihad.","Ynet reported the warning contemporaneously on Aug. 6 and said Bar had placed it before Netanyahu before that weekend; Times of Israel independently reported the warning and subsequent coalition backlash. Netanyahu's office then publicly expressed support for Bar. Published to Notion as Medium confidence.","Exact private assessment date and full record are not public. Treat as a Palestinian-arena security deterioration warning, not a specific Gaza invasion warning."
BAR-MIDSEP-2023-MULTIFRONT,2023-09,Resolved / deduped into WARN-15,Ronen Bar / Shin Bet,Benjamin Netanyahu / service-chiefs committee,"N12 reports that after an early-September Shin Bet discussion titled readiness for a campaign in Gaza, Bar requested a service-chiefs committee and warned in mid-September that Israel was heading toward a multi-front campaign.","The mid-September service-chiefs warning sequence is represented in canonical WARN-15 together with the 15-17 Sep Sinwar 'earthquake'/collision-course chain and its corroboration. Lane-2 recheck found no evidence establishing a separate additional warning event requiring a duplicate entry.","Split only if a distinct dated meeting/message with materially separate warning content and recipients is recovered."
BAR-FEB15-2023-EJ-ESCALATION,2023-02-15,Accepted,Ronen Bar / Shin Bet,Itamar Ben-Gvir,"Bar warned the national security minister that intensified East Jerusalem policing and perceived collective harassment could trigger broad escalation.","Published to Notion as WARN-36 / Medium confidence. Contemporaneous Channel 13 reporting records the direct Bar-Ben Gvir call and Ben Gvir's rejection of the warning/recommendation.","No public recording/transcript; classify as East Jerusalem/internal-security escalation warning, not a Gaza-invasion forecast."
