run_utc,period,lane,status,notes
2026-09-19T05:09:27Z,2022-12-29..2022-12-31,foreign_government_intelligence,In progress,"Targeted foreign-government/diplomatic review found no new distinct event in the final 2022 days; keep open for foreign-intelligence and archival routes."
2026-09-19T05:09:27Z,2023-01,foreign_government_intelligence,In progress,"Accepted WARN-110: Jordan's 3 Jan formal warning delivered via the Israeli ambassador for immediate transmission to the government. Jan. 17 status-quo protest retained as context; existing Sisi, US, CIA, Abdullah and other January foreign warnings remain deduped. Month stays open."
2026-09-19T05:09:27Z,2023-02,foreign_government_intelligence,In progress,"Targeted Lane 3 review did not identify an additional qualifying foreign warning beyond existing accepted entries and ongoing archive routes. Do not mark No results or Complete."
2026-09-19T05:09:27Z,2023-03,foreign_government_intelligence,In progress,"Accepted WARN-111: Jordan's 20 Mar formal warning that extremist conduct was a dangerous escalation threatening security/stability, with direct ambassador delivery and documented Hanegbi-Safadi response. Month remains open for additional foreign/intelligence records."
2026-09-19T05:09:27Z,2023-04,foreign_government_intelligence,In progress,"Jordan's 5 Apr violence-cycle/escalation warning retained unresolved because this pass found strong public official wording but no direct qualifying Israeli recipient. Existing foreign warnings remain deduped."
2026-09-19T05:09:27Z,2023-05,foreign_government_intelligence,In progress,"Munich Group 11 May official 'major conflagration' warning remains strong content but unresolved on Israeli delivery/recipient. Existing Austin/Gaza and other foreign-government events remain deduped."
2026-09-19T05:09:27Z,2023-06,foreign_government_intelligence,In progress,"Targeted Lane 3 review found no additional distinct qualifying foreign warning after dedupe; archival and intelligence-service routes remain open."
2026-09-19T05:09:27Z,2023-07,foreign_government_intelligence,In progress,"Jordan 27 Jul serious-consequences/escalation warning retained unresolved because no direct recipient chain was established. Existing foreign-government warnings remain deduped."
2026-09-19T05:09:27Z,2023-08,foreign_government_intelligence,In progress,"Targeted foreign-government/diplomatic review found no new distinct accepted event after dedupe; keep open for intelligence-service and bilateral-record recovery."
2026-09-19T05:09:27Z,2023-09,foreign_government_intelligence,In progress,"WARN-5 UAE warning freshness rechecked: recent AP reporting is a high-quality derivative source and preserves the PMO denial, but no new primary call record surfaced; confidence remains Medium. Egypt mid-Sep/NSC claim remains disputed. Direct Kamel warning is already represented as WARN-76."
2026-09-19T05:09:27Z,2023-10-01..2023-10-06,foreign_government_intelligence,In progress,"Accepted WARN-112: Jordan's 4 Oct diplomatic note warned continuing Al-Aqsa violations foreshadowed further escalation; direct ambassador delivery is documented. Egypt's alleged 4 Oct warning remains unresolved because Michael McCaul explicitly said the recipient level was unknown. No month marked Complete."
2026-09-19T05:09:27Z,pre-2022-12-29,older_inherited_warnings,In progress,"Followed foreign/regional warning chains backward where they intersect current-officeholder knowledge. No additional older foreign warning crossed threshold this run; no arbitrary historical floor imposed."
2026-09-19T05:09:27Z,all,foreign_government_intelligence,In progress,"Lane 3 completed for this rotation: three newly accepted Jordanian diplomatic warnings (WARN-110, WARN-111, WARN-112); Egypt Oct. 4 and Munich Group May 11 remain unresolved. Coverage is still In progress and no month is Complete. Next deep lane: Lane 4 — experts/research."
