period,lane,status,result
2022-12-29..2022-12-31,4 experts/research,In progress,"Targeted expert/think-tank search performed; no new recipient-documented warning accepted. Coverage remains open."
2023-01,4 experts/research,In progress,"Rechecked professional strategic assessments including INSS annual-assessment material; no new qualifying direct government-delivery event established. Coverage remains open."
2023-02,4 experts/research,In progress,"Targeted expert/research warning search performed; no new accepted warning. Coverage remains open rather than marked No results."
2023-03,4 experts/research,In progress,"Rechecked INSS 21 Mar urgent strategic alert. Primary contemporaneous warning remains strong, but named serving decision-maker receipt remains unresolved."
2023-04,4 experts/research,In progress,"Rechecked Amidror 13 Apr public war warning and discovered JISS 16 Apr institutional war warning. JISS contemporaneous paper is strong; an 8 Oct retrospective JISS statement says it had warned the Government of Israel, but no named recipient or delivery record was recovered, so JISS-APR16 remains Investigating."
2023-05,4 experts/research,In progress,"Targeted expert/research search performed; no new accepted warning. Existing professional/official warning chains were deduplicated. Coverage remains open."
2023-06,4 experts/research,In progress,"Targeted expert/research search performed; no new accepted warning. Coverage remains open."
2023-07,4 experts/research,In progress,"Rechecked WARN-131 INSS Har Dov warning and unresolved INSS 23 Jul urgent readiness alert. WARN-131 remains canonical; the 23 Jul alert still lacks named-recipient delivery evidence."
2023-08,4 experts/research,In progress,"Rechecked Giora Eiland 16 Aug warning already canonical as WARN-6 and Carmon/MEMRI 31 Aug warning. Eiland's later corroboration is already captured in Notion; Carmon still lacks qualifying recipient evidence."
2023-09,4 experts/research,In progress,"Targeted expert/think-tank search and Carmon follow-up performed; no new recipient-documented event crossed threshold. Coverage remains open."
2023-10-01..2023-10-06,4 experts/research,In progress,"Targeted pre-attack expert/research search performed; no new distinct recipient-documented warning accepted. Coverage remains open."
pre-2022-12-29,4 experts/research / older,In progress,"Rechecked older professional readiness chains including Yitzhak Brik, already represented canonically. No new older warning with documented inheritance/repetition/redelivery to a serving 2023 officeholder crossed threshold."
