candidate_id,period,status,warning_source,recipient,warning_summary,evidence_state,gaps,run_note
JISS-APR16-2023-WAR-PREP,2023-04-16,Discovery lead / receipt unresolved,"Jerusalem Institute for Strategy and Security (JISS), professional security think tank","Israeli political leadership / elected officials generally; named qualifying recipient unresolved","JISS warned that Israel's internal rupture had caused enormous damage, was making Israel appear less functional, was emboldening enemies, and that the probability of deterioration into a broader conflict had risen materially. It said Israel should prepare for a tangible possibility of war, potentially a multi-front war, and ensure the IDF had resources to prepare for a war that might be unavoidable.","Primary contemporaneous JISS position paper dated 16 Apr 2023; independently reported the same day by Times of Israel. Warning content and date are strong and non-opposition in origin. No delivery list, cover correspondence, briefing minutes or named official acknowledgment was recovered.","Need evidence that this paper or an equivalent JISS briefing reached a named serving government/security decision-maker before 7 Oct. Public publication and direct appeals to elected officials do not prove receipt.","NEW Lane-4 discovery. Track as unresolved; no Notion entry until recipient evidence crosses threshold."
INSS-APR19-2023-CONVERGING-AXES,2023-04-19,Discovery lead / receipt unresolved,"Udi Dekel / Institute for National Security Studies (INSS)","Israeli government generally; named qualifying recipient unresolved","INSS warned that the Palestinian resistance axis centered on Hamas/PIJ was converging with the Iran-Hezbollah axis; the internal crisis was increasing enemy audacity and testing Israel's deterrence. It said the Israeli government must reduce polarization, restore rules vis-a-vis Hezbollah, block Iranian consolidation and undermine Hamas's growing status.","Primary contemporaneous INSS Insight No. 1709 dated 19 Apr 2023 clearly records the warning and recommendations to the Israeli government. No specific delivery/briefing record or named recipient acknowledgment was recovered in this pass.","Need proof of pre-Oct. 7 receipt by a named qualifying decision-maker. Do not infer receipt from the paper's explicit government addressee.","NEW Lane-4 discovery lead; distinct warning content from the 21 Mar INSS strategic alert but still below acceptance threshold."
INSS-JUN2023-PA-HAMAS-MULTIFRONT,2023-06,Discovery lead / receipt unresolved,"Kobi Michael, Tamir Hayman and Ori Wertman / INSS","Israeli government/policy leadership generally; named qualifying recipient unresolved","Strategic Assessment warned that a weakening PA alongside a strengthening Hamas, erosion of deterrence against Hezbollah and Iran, and rising likelihood of multi-front conflict created a strategic dilemma. It recommended redefining Israel's goal in the Palestinian arena, inflicting sustained damage on Hamas military capability, and preparing the home front and other arenas for escalation.","Primary contemporaneous INSS Strategic Assessment published June 2023. Strong warning content and policy recommendations; no named delivery/receipt evidence found.","Need delivery record, briefing minutes, named acknowledgment or authoritative later record establishing pre-Oct. 7 receipt by a qualifying decision-maker.","NEW Lane-4 discovery lead; not Accepted."
GIDA-HAYUN-MAY-SEP-2023,2023-05-09 / 2023-09-12,Strong candidate / recipient level unresolved,"Menachem Gida and Rafael Hayun civilian OSINT/listening network","IDF intelligence officers and Gaza-border security coordinators are described as recipients; exact senior recipient of the specific May/September warnings unresolved","On 9 May Gida recorded Hamas communications about an attempted active infiltration into Israel, potentially for kidnapping/attack and possibly by sea. On 12 Sep he recorded a Hamas exercise involving naval commando attacks plus elite ground units moving toward eight land targets under rocket, mortar, IED and RPG cover.","Zman Israel reproduced the dated warning messages and documented the network's reporting relationship with IDF intelligence officers/rabashatzim. Separate reporting documents Hayun's direct dealings with Col. G, head of IDF information-security, before Oct. 7. Targeted recheck still did not tie the specific May/Sep warnings to that named senior recipient.","Need contemporaneous distribution metadata, named senior acknowledgment, original army correspondence or authoritative inquiry finding tying either dated warning to a qualifying senior recipient.","Unresolved-first recheck; unchanged below Accepted threshold."
YADLIN-MAR23-2023,2023-03-23,Strong candidate / receipt unresolved,"Maj. Gen. (res.) Amos Yadlin / former IDF Military Intelligence chief; security expert","Benjamin Netanyahu — directly addressed publicly; actual receipt/read status unproven","Yadlin warned that four explosive arenas could combine into a 'perfect storm' while IDF readiness and deterrence were weakening, with Gaza among the Palestinian arenas that could erupt.","Contemporaneous N12 column remains explicit and directly addresses Netanyahu. Targeted recheck found no independent evidence Netanyahu or another qualifying senior decision-maker received/read this specific warning or a private Yadlin briefing. Later self-description of having warned him remains retrospective self-testimony.","Need independent delivery/receipt or briefing evidence. Keep Yadlin's former 2015 political role disclosed and treat this only as professional security-expert evidence.","Unresolved-first recheck; no status change."
ACADEMICS-FEB7-2023-SECURITY-PETITION,2023-02-07,Discovery lead / receipt unresolved,"240+ Israeli and international academics led by Prof. Eyal Winter","Government of Israel — generic addressee; named qualifying recipient unresolved","Petition warned that the judicial initiative threatened Israel's national security, would weaken its ability to defend itself, and that weakening democratic institutions played into enemies' hands and could threaten Israel's existence.","Contemporaneous reporting firmly establishes the petition and warning language. No direct delivery/cover correspondence, named recipient acknowledgment or meeting record was recovered.","Need direct delivery/receipt evidence; public petition alone is insufficient.","Unresolved-first recheck; unchanged."
INSS-MAR21-2023-STRATEGIC-ALERT,2023-03-21,Investigating / receipt unresolved,"Institute for National Security Studies (INSS)","Israeli government generally; named qualifying recipient unresolved","Urgent strategic alert warned the internal rupture would seriously harm IDF functioning and fighting spirit, reduce Israel's ability to confront enemies and magnify severe security/geopolitical threats.","Primary contemporaneous INSS publication plus same-day reporting strongly establish warning content and date. Targeted recheck found no direct delivery record to Netanyahu, cabinet or another named qualifying decision-maker.","Need delivery list, briefing minutes or named acknowledgment.","Unresolved-first recheck; no status change."
AMIDROR-APR13-2023,2023-04-13,Investigating / receipt unresolved,"Maj. Gen. (res.) Yaakov Amidror / former NSC chief and former MI Research Division chief","Serving decision-maker receipt unresolved","Amidror publicly warned that war was much closer than peace, Iran was increasingly confident, deterioration risk was unusually high and Israel should prepare for war.","Contemporaneous 13 Apr 2023 interview was reported by multiple outlets. No evidence recovered this run that the specific warning was privately delivered to or acknowledged by a named serving decision-maker.","Need direct delivery/meeting evidence; public warning alone does not establish qualifying receipt.","Lane-4 recheck; unchanged."
IDSF-AUG16-2023-HEZBOLLAH,2023-08-16,Discovery lead / receipt unresolved,"Israel Defense and Security Forum (IDSF) Research Department; Brig. Gen. (res.) Yossi Kuperwasser, Maj. (res.) Lilach Eshtar, Or Yissachar, Brig. Gen. (res.) Oren Solomon","Paper explicitly framed as recommendations for the political echelon; named delivery/receipt unresolved","Strategic assessment warned Hezbollah's growing boldness and readiness for confrontation created a real ignition risk; described Israeli containment as encouraging further provocation and noted multi-front escalation potential.","Primary contemporaneous IDSF paper is dated 16 Aug 2023 and explicitly framed as recommendations for the political echelon. No delivery record, cover letter, briefing minutes or named official acknowledgment was found.","Need proof the paper or equivalent briefing reached a named serving government/security decision-maker. Intended audience is not receipt evidence.","Lane-4 recheck; unchanged."
CARMON-AUG31-2023,2023-08-31,Investigating / receipt unresolved,"Yigal Carmon / MEMRI founder; former counter-terrorism adviser","Serving Israeli government/security decision-maker receipt unresolved","Carmon warned of signs that war could erupt in September-October 2023, citing Hamas/Hezbollah/Iran-axis escalation signals and the possibility of uncontrolled deterioration into regional war.","Contemporaneous MEMRI warning and independent early-September reporting firmly establish the pre-Oct. 7 warning and unusually specific time window. No independently corroborated pre-Oct. 7 delivery to a named serving decision-maker was recovered.","Need contemporaneous delivery evidence, recipient acknowledgment or authoritative later record. Prediction accuracy cannot substitute for proof of receipt.","Lane-4 recheck; unchanged."
