run_utc,period,lane,status,notes
2026-09-19T23:16:45Z,2022-12-29..2022-12-31,3,In progress,"Targeted foreign-government/diplomatic/intelligence sweep and reconciliation against existing database entries; no new distinct qualifying warning in this short period."
2026-09-19T23:16:45Z,2023-01,3,In progress,"Egyptian, Jordanian, U.S. and other official foreign warning chains re-audited against existing accepted January entries; no new distinct event."
2026-09-19T23:16:45Z,2023-02,3,In progress,"U.S./European/Jordanian official escalation warnings reviewed and deduped against existing records; no new distinct threshold-crossing event."
2026-09-19T23:16:45Z,2023-03,3,In progress,"Foreign diplomatic escalation warnings reviewed, including UAE/Jordan/U.S./European chains; existing entries control."
2026-09-19T23:16:45Z,2023-04,3,In progress,"Foreign-government/intelligence and regional-partner warning routes searched/reconciled; no new distinct accepted event."
2026-09-19T23:16:45Z,2023-05,3,In progress,"Foreign official Gaza/regional-escalation warning material reviewed; existing records control and no new direct warning crossed threshold."
2026-09-19T23:16:45Z,2023-06,3,In progress,"U.S./European/Jordanian and regional-partner warning material re-audited; no new distinct accepted event."
2026-09-19T23:16:45Z,2023-07,3,In progress,"Foreign diplomatic and intelligence warning chains reviewed; no new distinct event with sufficient recipient evidence."
2026-09-19T23:16:45Z,2023-08,3,In progress,"Foreign-government/intelligence routes rechecked against existing records; no new qualifying distinct warning."
2026-09-19T23:16:45Z,2023-09,3,In progress,"UAE and Egyptian warning chains re-audited. WARN-5/WARN-8/WARN-76 remain controlling; mid-September Egyptian Foreign Ministry/NSC claim remains disputed. No duplicate created."
2026-09-19T23:16:45Z,2023-10-01..2023-10-06,3,In progress,"EGYPT-OCT4-2023 re-audited: McCaul confirms an Egyptian warning to Israel roughly three days before the attack but explicitly says recipient level was unknown; no public primary record identifying a qualifying recipient surfaced. Remains unresolved."
2026-09-19T23:16:45Z,OLDER,3,In progress,"New older-warning acceptance: WARN-124. Yedioth/Ynet reports a 2018 Egyptian document delivered to Netanyahu warning that Qatar, Turkey and Iran funds were reaching Hamas's military wing. Underlying document remains unpublished; PMO and Qatar denials preserved. WARN-31 and WARN-32 also strengthened by newly published internal-intelligence-document/State-Comptroller-testimony reporting."
2026-09-19T23:16:45Z,ALL,3,In progress,"Lane 3 completed for this rotation. 1 new Accepted warning (WARN-124); accepted total 123. WARN-31 and WARN-32 strengthened without classification change. No month marked Complete. Next deep lane: 4 — professional experts, academics, researchers, think tanks and nonpartisan expert organizations."
