period,source_lane,status,notes
2022-12-29..2022-12-31,local_emergency_civil,In progress,"Targeted local/emergency/civil-professional search found no new distinct qualifying warning to a serving senior decision-maker in the government's first three days."
2023-01,local_emergency_civil,In progress,"Targeted Gaza-envelope/local-authority/rabashatz search found no new distinct qualifying recipient-documented event."
2023-02,local_emergency_civil,In progress,"Targeted local/emergency/civil-professional search found no new distinct qualifying recipient-documented event."
2023-03,local_emergency_civil,In progress,"Targeted local-authority and civilian-security search found no new distinct qualifying recipient-documented event."
2023-04,local_emergency_civil,In progress,"20 Apr rabashatz authority/conditions warning chain rechecked; it is supporting contemporaneous evidence for canonical WARN-130 rather than a separate event."
2023-05,local_emergency_civil,In progress,"Canonical WARN-130 covers the National Rabashatz Organization warning to Gallant. Adri Committee work began in the first half of 2023 and is tracked separately at its September formal-report milestone as WARN-132."
2023-06,local_emergency_civil,In progress,"5 Jun contemporaneous reporting on unresolved rabashatz status/command problems and proposed funding was reviewed as context; no distinct June warning with a separate recipient chain crossed threshold."
2023-07,local_emergency_civil,In progress,"Targeted Gaza-envelope/local-security search found no new distinct qualifying July event beyond already-canonical warning chains."
2023-08,local_emergency_civil,In progress,"Pre-final Adri Committee work and Defense Ministry deliberations were rechecked; no separate August warning milestone with documented delivery was identified."
2023-09,local_emergency_civil,In progress,"NEW ACCEPTED WARN-132: the Defense Ministry Adri Committee presented the director-general with formal rabashatz command, training and readiness deficiencies; State Comptroller documents direct receipt and an in-principle response."
2023-10-01..2023-10-06,local_emergency_civil,In progress,"Targeted local-authority/Gaza-envelope/emergency-professional search found no new distinct qualifying warning before Oct. 7."
pre-2022-12-29,older_inherited_warnings,In progress,"State Comptroller confirms the rabashatz structural problems had been identified in earlier audits; the 2023 Adri Committee formally re-examined and redelivered them to the serving Defense Ministry director-general. No separate older event is counted because the current-government delivery is captured in WARN-132."
