period,source_lane,status,notes
2022-12-29..2023-01,4-experts-research,In progress,"Rechecked INSS annual strategic assessment and early-government expert warnings. Jan. assessment warned of Palestinian escalation but was publicly presented to President Herzog; no new qualifying delivery to a serving government/security decision-maker established."
2023-02,4-experts-research,In progress,"Targeted think-tank, academic and former-professional expert warnings on Palestinian escalation, Iran and readiness; no new distinct threshold-crossing government-receipt event."
2023-03,4-experts-research,In progress,"Rechecked INSS 21 Mar strategic alert and related expert warnings. Strong contemporaneous warning content, but no named qualifying recipient/delivery record recovered."
2023-04,4-experts-research,In progress,"Rechecked Amidror 13 Apr, JISS 16 Apr and Milshtein 8 Apr warnings. All are contemporaneous and substantive; direct delivery to qualifying serving recipients remains unproven."
2023-05,4-experts-research,In progress,"Rechecked INSS/Udi Dekel 15 May and Milshtein 10 May Hamas-strategy warnings. No direct recipient evidence; retained as discovery/investigation leads only."
2023-06,4-experts-research,In progress,"Targeted academic/think-tank warnings on deterrence, multi-front war and readiness. Existing Reichman/ICT WARN-80 covers the qualifying multi-front preparedness briefing campaign; no duplicate created."
2023-07,4-experts-research,In progress,"Rechecked INSS 23 Jul urgent alert on reserve-model dissolution/readiness and multi-front deterrence. No named recipient/delivery upgrade recovered."
2023-08,4-experts-research,In progress,"Rechecked Carmon/MEMRI 31 Aug possible Sep-Oct war warning and Brik readiness warnings. Carmon lacks qualifying delivery; Brik's direct-warning chain is already represented in existing Notion entries."
2023-09,4-experts-research,In progress,"Rechecked Reichman/ICT briefing campaign and Sep 10-12 ICT conference provenance. WARN-80 already represents the qualifying delivered research warning; conference co-presence alone is not treated as receipt."
2023-10-01..2023-10-06,4-experts-research,In progress,"Targeted expert/research publications and retrospective evidence for warnings given before Oct. 7; no new distinct qualifying expert-origin event crossed threshold."
OLDER,4-experts-research,In progress,"Reviewed older Brik, BESA and other inherited professional/research warnings. Existing accepted entries cover qualifying direct-delivery chains; older public research without documented delivery remains unresolved/contextual."
