period,lane,status,update
2022-12-29..2022-12-31,other_israeli_security,In progress,"Targeted Shin Bet/Mossad/NSC/police/Home Front search found no new distinct qualifying warning to a senior decision-maker; keep open."
2023-01,other_israeli_security,In progress,"Rechecked Shin Bet/police escalation and Gaza-readiness reporting; no new distinct qualifying event beyond already canonical warnings."
2023-02,other_israeli_security,In progress,"Reconciled the 15 Feb Ronen Bar→Ben Gvir East Jerusalem escalation candidate to existing Accepted WARN-36; no duplicate created."
2023-03,other_israeli_security,In progress,"Rechecked Shin Bet deterrence/internal-rift and police/Ramadan warning chains; existing canonical records cover the defensible events; no new promotion."
2023-04,other_israeli_security,In progress,"BAR-APR23-DETERRENCE remains Investigating because exact date/forum/recipient and contemporaneous corroboration are unresolved; no new accepted event."
2023-05,other_israeli_security,In progress,"Reconciled 21 May Ronen Bar→Netanyahu Hamas/Gaza-campaign candidate to existing Accepted WARN-16; PMO contradiction remains preserved."
2023-06,other_israeli_security,In progress,"Reconciled former-police-chiefs 9 Jun warning to WARN-7 and Bar's 11 Jun Shin Bet resource-diversion warning to WARN-37; both already canonical, no duplicates."
2023-07,other_israeli_security,In progress,"Rechecked Bar's 23 Jul strategic war warning and adjacent security-service warnings; existing canonical entry covers it; no new distinct event."
2023-08,other_israeli_security,In progress,"Rechecked Shin Bet Palestinian-escalation, police capacity and counterterror-readiness chains; existing records cover known defensible events; no new promotion."
2023-09,other_israeli_security,In progress,"Reconciled mid-September Bar multi-front/collision-course candidate to existing Accepted WARN-15; Sep. 3 Shin Bet South warning is already canonical. No new event promoted."
2023-10-01..2023-10-06,other_israeli_security,In progress,"Reconciled the 1 Oct Bar 'something extreme'/Sinwar recommendation candidate to existing Accepted WARN-68; PMO contrary account remains preserved. No new distinct Lane-2 event crossed threshold."
pre-2022-12-29,older_inherited_warnings,In progress,"Fresh older-warning check of Shin Bet/Mossad/Gaza financing and force-building chains found the material already represented in canonical historical entries; no new inherited/redelivered event identified."
