run_utc,candidate_id,period,status,progress,gaps
2026-09-15T111109Z,C14-2026-0831-SARA-NETANYAHU-YAIR-GOLAN-TIMELINE,2026-08-31,New high-priority candidate / external interviewee claim / first-party container missing,"In a Channel 14 interview Sara Netanyahu said Yair Golan was already there very early on Oct. 7, dressed and ready, when others did not know, including the prime minister. N12, Israel Hayom and Davar preserve the exact wording or exact clip. Credible counter-evidence now includes N12 footage and eyewitness Oz Davidian, who says he met Golan around 11:30, plus Davar's report of Golan's account that he set out roughly 90 minutes after the attack began. Separately, the PMO's own Sept. 3, 2026 published timeline says Netanyahu was first informed at 06:29. This materially challenges the temporal implication that Golan was already operating there while Netanyahu remained unaware. Origin must be preserved as interviewee/external claim, not Channel 14 editorial speech.","Recover the exact first-party Channel 14 interview/broadcast container before assigning a verdict. Narrow any eventual verdict to the checkable timing comparison; do not convert the insinuation into a broader finding about foreknowledge or betrayal. Preserve Sara Netanyahu's subsequent refusal to retract and Netanyahu's separate statement that he does not believe there was betrayal."
2026-09-15T111109Z,C14-2024-1025-BROTHERS-IN-ARMS,2024-10-25,Unresolved / court-mapped,One of three publications covered by the district-court correction ruling; current Channel 14 page is corrected and the channel admitted the relevant linkage was erroneous.,Recover exact pre-correction Channel 14 media/page state and preserve precise claim origin before canonicalization.
2026-09-15T111109Z,C14-2024-1031-BROTHERS-IN-ARMS,2024-10-31,Unresolved / court-mapped,One of three publications covered by the district-court correction ruling; current Channel 14 page is corrected and the channel admitted the relevant linkage was erroneous.,Recover exact pre-correction Channel 14 media/page state and preserve precise claim origin before canonicalization.
2026-09-15T111109Z,C14-2024-1103-BROTHERS-IN-ARMS,2024-11-03,Unresolved / court-mapped,One of three publications covered by the district-court correction ruling; current Channel 14 page is corrected and the channel admitted the relevant linkage was erroneous.,Recover exact pre-correction Channel 14 media/page state; claim-origin attribution remains unresolved.
2026-09-15T111109Z,C14-2024-0916-ALMOG-COHEN-BROTHERS-IN-ARMS,2024-09-16,Unresolved / external claim repeated,Channel 14 first-party page preserves Almog Cohen's allegation. Secondary reporting says Cohen later testified his information was hearsay and he lacked proof.,Primary court transcript/finding needed for a defensible verdict; do not attribute Cohen's statement to Channel 14 editorial speech.
2026-09-15T111109Z,MAR26-BARDUGO-800-MPCID-SUSPENSIONS,2026-03,Unresolved,Strong counter-evidence/provenance exists for the approximately 800 suspensions claim. Focused exact-wording/first-party searches again did not recover the missing full Channel 14 broadcast/container.,"Recover the full first-party Channel 14 broadcast/container and, ideally, direct MAG/prosecution documentation before verdict."
2026-09-15T111109Z,OHAD-SEGEV-CHYRON,2023-12,Unresolved / exact secondary frame preserved,"Walla preserves an exact Channel 14 frame reading that Ohad Segev was a reserve major/former Shaldag officer; Segev's response acknowledged he was not an officer and described a campaign-team error. Focused first-party searches this run still did not recover the original Channel 14 broadcast container/date, so the exact secondary frame is not substituted for first-party media.","Recover original Channel 14 broadcast date/container; origin is graphic/chyron, not a guest statement."
2026-09-15T111109Z,C14-2026-0712-ASHDOD-HAREDI-ARREST-FRAMING,2026-07-12,Unresolved,"ICE preserves a police rebuttal/clarification that the detention was mistaken identification during a judicially authorized investigation, not an anti-Haredi policy. Focused first-party searches again did not recover the exact Channel 14 segment.",Exact Channel 14 segment and wording remain missing; no verdict assigned.
2026-09-15T111109Z,C14-2026-0818-KARIV-LANGUAGE,2026-08-18,Resolved / existing canonical C14-2026-0009,"Canonical Google Sheet already contains Verified/High C14-2026-0009: Dana Varon said Gilad Kariv switched to Arabic, while the exact clip was Hebrew speech with Arabic subtitles.",Resolved; do not duplicate. Keep origin as presenter/editor and the verdict limited to the language claim.
2026-09-15T111109Z,C14-2023-1206-JENIN-OLD-FOOTAGE,2023-12-06,Unresolved / historical candidate,"ICE reported on Dec. 7, 2023 that during the previous night's Patriots broadcast Yinon Magal presented armed-training footage from Jenin as videos coming out in recent days, while a Bodkim check said at least part of the footage had aired with N12 correspondent Ohad Hamo more than a year earlier. Focused Channel 14/YouTube searches this run still did not recover the exact first-party Patriots segment or matched N12 container.",Recover the exact first-party Channel 14 segment and the matched older N12 footage/container before assigning a verdict; confirm whether all or only part of the montage was old.
2026-09-15T111109Z,C14-2026-0309-B2-DCS-VIDEO,2026-03-08,Resolved / existing canonical C14-2026-0002,Verified/High canonical already preserves the Digital Combat Simulator footage case.,Resolved; do not duplicate.
2026-09-15T111109Z,C14-2026-0816-TOMER-YERUSHALMI-MISID,2026-08-16,Resolved / existing canonical C14-2026-0001,Verified/High canonical already preserves the mistaken identification and exact deleted segment.,Resolved; do not duplicate.
