run_utc,candidate_id,period,status,warning_source,recipient,progress,gaps
2026-09-17T12:13:32Z,EGYPT-OCT4-2023-ISRAELI-OFFICIALS,2023-10-04,Strong candidate / recipient level unresolved,"Egyptian government/intelligence","Israeli officials; exact level unresolved","Rechecked the strongest public account: House Foreign Affairs chair Michael McCaul said after a classified briefing that Egypt warned 'the Israelis' roughly three days before Oct. 7 and explicitly said the unresolved question was at what level. No new primary record or recipient-identifying evidence was recovered in this run.","Need primary US briefing record or Egyptian/Israeli documentation identifying who received what. Do not infer Netanyahu or cabinet receipt."
2026-09-17T12:13:32Z,INSS-MAR21-2023-STRATEGIC-ALERT,2023-03-21,Strong candidate / receipt unresolved,"Institute for National Security Studies (INSS)","Israeli government/political-security leadership; direct receipt not established","Primary INSS strategic alert warned that the combination of external threats and the internal constitutional crisis could damage IDF functioning/fighting spirit, Israel's ability to confront enemies, strategic resilience and US support. Contemporaneous reporting confirms INSS described it as an urgent strategic alert.","Public publication and a call to decision-makers do not prove delivery to a named qualifying recipient. Recover distribution records, correspondence, meeting references or recipient acknowledgment."
2026-09-17T12:13:32Z,INSS-JUL23-2023-READINESS-ALERT,2023-07-23,Strong candidate / receipt unresolved,"Institute for National Security Studies (INSS)","Israeli government/political-security leadership; direct receipt not established","Primary INSS urgent alert warned that the 'people's army' model was at risk of dissolution, military capability and deterrence were being weakened, threats were rising on multiple fronts and critical air/intelligence/special-operations systems were at risk. It explicitly said the government was not giving proper attention to military warnings.","Need evidence that this specific alert was delivered to or acknowledged by a qualifying senior decision-maker; publicity alone is insufficient."
2026-09-17T12:13:32Z,JISS-APR16-2023-PREPARE-FOR-WAR,2023-04-16..2023-04-17,Strong candidate / receipt unresolved,"Jerusalem Institute for Strategy and Security (JISS)","Israeli elected leadership / government; direct receipt not established","JISS warned that Israel's strategic environment was the most dangerous in decades, that Iran/proxies had greater freedom of action and that a wider multi-front war had become a tangible possibility; it urged elected officials to ensure the security establishment had resources to prepare for war. The source is a conservative security institute rather than an opposition party.","Need documented delivery, briefing, meeting, correspondence or recipient acknowledgment. Treat the published paper itself as evidence of the warning content, not proof of government receipt."
2026-09-17T12:13:32Z,REICHMAN-IPS-2023-STRATEGIC-ALERT-CHAIN,2023-01..2023-05,Investigating / chain requires event separation,"Reichman University Institute for Policy and Strategy (IPS)","Government and senior security officials; event-specific receipt unresolved","IPS issued repeated pre-Oct. 7 assessments warning of combined multidimensional threats, Palestinian escalation and deterioration of national resilience/strategic power. Its May Herzliya Conference was attended by senior serving decision-makers including Gallant, Halevi, Gamliel, Hanegbi and MOD DG Eyal Zamir.","Attendance at the conference does not prove receipt of each specific IPS warning. Recover exact presentations/papers delivered to named officials and split only when distinct warning events are documented."
2026-09-17T12:13:32Z,EX-SHINBET-800-JUL16-2023,2023-07-16..2023-07-17,Scope-threshold candidate / direct receipt,"About 800 former Shin Bet personnel acting as former security professionals","Benjamin Netanyahu; Yoav Gallant","Contemporaneous Ynet reports a letter sent directly to Netanyahu and Gallant warning that continuing the judicial legislation created a clear and immediate danger to state security, including exposure of security personnel to international prosecution.","Direct receipt is strong, but the documented danger in the retrieved report is only indirectly tied to Oct. 7 operational preparedness. Keep below acceptance threshold unless stronger readiness/deterrence/attack-risk language from the original letter is recovered."
2026-09-17T12:13:32Z,AMAN-SPECIALOPS-AUG19-2023,2023-08-19,Investigating / original letter needed,"Former AMAN special-operations personnel / organizers of a reported 1,340-member alumni group","Benjamin Netanyahu; Yoav Gallant (reported)","Secondary reporting describes an Aug. 2023 alarm letter warning of danger of war, severe national-security harm and destruction of strategic assets. Other contemporaneous public letters from the same community show sustained readiness concerns.","Current direct source chain is inadequate. Recover the original letter or high-quality Israeli report reproducing it, exact signatories, exact date, wording and proof of delivery before acceptance."
2026-09-17T12:13:32Z,MFA-CPR-JAN2023-CONFRONTATION-YEAR,2023-01,High-value documentary-recovery candidate,"Foreign Ministry Center for Policy Research (CPR / מרכז למחקר מדיני)","Relevant intelligence and political bodies, per retrospective former-CPR-head account; exact recipients unresolved","A retrospective professional account by former CPR heads says January 2023 CPR papers raised the possibility that Hamas viewed 2023 as a year of confrontation and that CPR's 2022-23 warnings were circulated to relevant intelligence and political bodies.","Post-event account is not sufficient by itself. Recover the original January 2023 CPR paper, date, distribution list and independent/official corroboration before acceptance."
2026-09-17T12:13:32Z,MFA-CPR-MAR2023-HAMAS-NOT-DETERRED,2023-03,High-value documentary-recovery candidate,"Foreign Ministry Center for Policy Research (CPR / מרכז למחקר מדיני)","Relevant intelligence and political bodies, per retrospective former-CPR-head account; exact recipients unresolved","Former CPR heads say a March 2023 assessment argued Hamas's relative calm reflected self-interest rather than deterrence and warned that West Bank escalation could trigger Gaza escalation; their broader account says CPR repeatedly warned Hamas was not deterred.","Need original contemporaneous assessment/distribution records and independent corroboration. Do not accept a retrospective 'we warned them' account alone."
2026-09-17T12:13:32Z,MFA-CPR-SEP19-2023-GAZA-BORDER,2023-09-19,High-value documentary-recovery candidate,"Foreign Ministry Center for Policy Research (CPR / מרכז למחקר מדיני)","Relevant intelligence and political bodies, per retrospective former-CPR-head account; exact recipients unresolved","Retrospective former-CPR-head account says a Sep. 19 CPR paper warned of intensifying Gaza-border disturbances and Hamas dissatisfaction with the existing Israeli 'equation'; the same account describes an Aug. 27 paper on discussions of full-scale war with the resistance axis.","Recover Sep. 19 and Aug. 27 original papers, exact warning wording, distribution lists and independent/official corroboration. Potential overlap with existing September escalation warnings must be deduplicated after documents are recovered."
